Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 69 (%);H 70 (%);H 71 (%);H 72 (%);H 73 (%);H 74 (%);H 75 (%);H 76 (%);H 77 (%);H 78 (%);H 79 (%);H 80 (%);H 81 (%)
ARACOIABA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;335;313;93%;36%;31%;33%;58%;59;65;60;60;61;65;66;52;54;58;31;58;58
ARARENDA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;153;151;99%;0%;2%;98%;94%;96;95;96;96;95;95;88;;97;95;83;92;
ARARIPE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;384;337;88%;46%;38%;16%;55%;74;48;56;52;67;67;56;38;35;59;29;50;65
ARATUBA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;196;173;88%;46%;37%;17%;54%;57;59;48;53;68;69;57;48;41;58;38;53;52
ARNEIROZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;99;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
ASSARE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;297;268;90%;16%;26%;58%;74%;73;75;81;81;72;77;76;;75;79;54;67;
AURORA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;298;246;83%;41%;38%;21%;56%;55;61;63;63;61;63;55;;41;64;30;59;
BAIXIO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;54;21;39%;5%;76%;19%;65%;68;43;43;50;67;98;98;;88;74;31;52;
BANABUIU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;267;235;88%;34%;36%;29%;59%;61;58;59;64;56;63;68;;52;70;36;60;
BARREIRA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;331;318;96%;29%;44%;28%;59%;66;63;60;67;59;61;60;50;50;70;37;57;50
BARRO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;208;194;93%;47%;38%;15%;52%;52;59;52;56;55;61;61;50;40;49;28;55;82
BARROQUINHA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;405;272;67%;39%;37%;24%;56%;54;59;53;57;57;67;66;;41;64;39;56;
BATURITE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;348;16;5%;6%;31%;63%;78%;88;81;75;75;69;91;88;;69;94;28;88;
BELA CRUZ;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;360;39;11%;15%;36%;49%;71%;67;71;72;63;72;76;81;78;62;69;66;78;78
BOA VIAGEM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;589;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;
BREJO SANTO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;634;120;19%;31%;32%;38%;58%;59;66;69;70;72;68;55;66;57;62;26;44;
CAMOCIM;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;883;751;85%;33%;39%;28%;58%;58;63;57;59;58;68;64;;56;69;32;54;
CAMPOS SALES;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;313;244;78%;42%;30%;28%;60%;65;58;60;61;58;64;56;52;53;66;29;61;79
CANINDE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1093;835;76%;32%;42%;26%;60%;62;60;63;65;70;65;60;44;49;66;39;64;73
CAPISTRANO;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;215;190;88%;45%;34%;21%;53%;55;56;47;57;50;59;55;67;39;59;39;66;33
CARIDADE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;219;180;82%;10%;24%;66%;78%;85;83;78;72;77;88;85;50;76;84;59;64;100
CARIRE;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;261;255;98%;15%;24%;61%;74%;74;74;79;75;80;90;82;81;73;80;51;65;
CARIRIACU;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;339;95;28%;27%;41%;32%;62%;52;75;65;68;43;68;68;63;59;66;39;54;67
CARIUS;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;211;194;92%;36%;33%;31%;65%;70;63;69;73;73;74;57;46;43;67;;83;72
CARNAUBAL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;322;277;86%;42%;34%;23%;53%;56;60;54;59;51;62;54;0;44;60;29;57;50
CASCAVEL;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;709;74;10%;28%;42%;30%;65%;67;60;66;84;66;77;59;45;62;74;38;79;59
CATARINA;MATEMÁTICA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;146;120;82%;36%;44%;20%;55%;47;65;55;63;81;0;57;49;46;59;38;44;88
